"","year","perc_expl","perc_non_expl","X","Region","Rate","Count","type"
"1",2010,0.14,0.86,1,"Africa",3.5,304,"Assault"
"2",2010,0.14,0.86,2,"Africa",33.49,14078,"Assault"
"3",2010,0.14,0.86,3,"Africa",16.31,3450,"Assault"
"4",2010,0.14,0.86,4,"Africa",19.07,238,"Assault"
"5",2010,0.14,0.86,5,"Africa",NA,NA,"Assault"
"6",2010,0.14,0.86,6,"Africa",19.96,2004,"Assault"
"7",2010,0.14,0.86,7,"Africa",70.86,22979,"Assault"
"8",2010,0.14,0.86,8,"Africa",NA,NA,"Assault"
"9",2010,0.14,0.86,9,"Africa",NA,NA,"Assault"
"10",2010,0.14,0.86,10,"Africa",24.17,4917,"Assault"
"11",2010,0.14,0.86,11,"Africa",0,0,"Assault"
"12",2010,0.14,0.86,12,"Africa",115.02,41381,"Assault"
"13",2010,0.14,0.86,13,"Africa",0.19,156,"Assault"
"14",2010,0.14,0.86,14,"Africa",NA,NA,"Assault"
"15",2010,0.14,0.86,15,"Africa",878.56,17457,"Assault"
"16",2010,0.14,0.86,16,"Africa",NA,NA,"Assault"
"17",2010,0.14,0.86,17,"Africa",NA,NA,"Assault"
"18",2010,0.14,0.86,18,"Africa",NA,NA,"Assault"
"19",2010,0.14,0.86,19,"Africa",NA,NA,"Assault"
"20",2010,0.14,0.86,20,"Africa",829.61,4090,"Assault"
"21",2010,0.14,0.86,21,"Africa",NA,NA,"Assault"
"22",2010,0.14,0.86,22,"Africa",NA,NA,"Assault"
"23",2010,0.14,0.86,23,"Africa",NA,NA,"Assault"
"24",2010,0.14,0.86,24,"Africa",11.41,18093,"Assault"
"25",2010,0.14,0.86,25,"Africa",2.41,305,"Assault"
"26",2010,0.14,0.86,26,"Africa",NA,NA,"Assault"
"27",2010,0.14,0.86,27,"Americas",862.82,3063,"Assault"
"28",2010,0.14,0.86,28,"Americas",535.82,1511,"Assault"
"29",2010,0.14,0.86,29,"Americas",NA,NA,"Assault"
"30",2010,0.14,0.86,30,"Americas",NA,NA,"Assault"
"31",2010,0.14,0.86,31,"Americas",1086.79,1152,"Assault"
"32",2010,0.14,0.86,32,"Americas",50.07,1407,"Assault"
"33",2010,0.14,0.86,33,"Americas",75.81,2714,"Assault"
"34",2010,0.14,0.86,34,"Americas",316.33,155,"Assault"
"35",2010,0.14,0.86,35,"Americas",1212.04,1309,"Assault"
"36",2010,0.14,0.86,36,"Americas",46.39,616,"Assault"
"37",2010,0.14,0.86,37,"Americas",NA,NA,"Assault"
"38",2010,0.14,0.86,38,"Americas",173.76,7953,"Assault"
"39",2010,0.14,0.86,39,"Americas",62.92,3891,"Assault"
"40",2010,0.14,0.86,40,"Americas",50.94,7452,"Assault"
"41",2010,0.14,0.86,41,"Americas",NA,NA,"Assault"
"42",2010,0.14,0.86,42,"Americas",202.19,230687,"Assault"
"43",2010,0.14,0.86,43,"Americas",314.99,18345,"Assault"
"44",2010,0.14,0.86,44,"Americas",166.35,6060,"Assault"
"45",2010,0.14,0.86,45,"Americas",949.23,617,"Assault"
"46",2010,0.14,0.86,46,"Americas",162.34,55436,"Assault"
"47",2010,0.14,0.86,47,"Americas",253.01,781844,"Assault"
"48",2010,0.14,0.86,48,"Americas",NA,NA,"Assault"
"49",2010,0.14,0.86,49,"Americas",84.1,8451,"Assault"
"50",2010,0.14,0.86,50,"Americas",365.69,715702,"Assault"
"51",2010,0.14,0.86,51,"Americas",130.45,22259,"Assault"
"52",2010,0.14,0.86,52,"Americas",117.51,53140,"Assault"
"53",2010,0.14,0.86,53,"Americas",30.01,4505,"Assault"
"54",2010,0.14,0.86,54,"Americas",1492.92,11182,"Assault"
"55",2010,0.14,0.86,55,"Americas",31.16,1947,"Assault"
"56",2010,0.14,0.86,56,"Americas",65.64,19053,"Assault"
"57",2010,0.14,0.86,57,"Americas",NA,NA,"Assault"
"58",2010,0.14,0.86,58,"Americas",15.45,519,"Assault"
"59",2010,0.14,0.86,59,"Asia",9.79,1591,"Assault"
"60",2010,0.14,0.86,60,"Asia",9.89,536,"Assault"
"61",2010,0.14,0.86,61,"Asia",72.94,5490,"Assault"
"62",2010,0.14,0.86,62,"Asia",NA,NA,"Assault"
"63",2010,0.14,0.86,63,"Asia",NA,NA,"Assault"
"64",2010,0.14,0.86,64,"Asia",109.13,7602,"Assault"
"65",2010,0.14,0.86,65,"Asia",20.73,26647,"Assault"
"66",2010,0.14,0.86,66,"Asia",341.26,1836,"Assault"
"67",2010,0.14,0.86,67,"Asia",214.01,5821,"Assault"
"68",2010,0.14,0.86,68,"Asia",590.05,292347,"Assault"
"69",2010,0.14,0.86,69,"Asia",NA,NA,"Assault"
"70",2010,0.14,0.86,70,"Asia",13.22,31960,"Assault"
"71",2010,0.14,0.86,71,"Asia",NA,NA,"Assault"
"72",2010,0.14,0.86,72,"Asia",5.3,2681,"Assault"
"73",2010,0.14,0.86,73,"Asia",8.36,429,"Assault"
"74",2010,0.14,0.86,74,"Asia",13.56,9112,"Assault"
"75",2010,0.14,0.86,75,"Asia",NA,NA,"Assault"
"76",2010,0.14,0.86,76,"Asia",NA,NA,"Assault"
"77",2010,0.14,0.86,77,"Asia",23.42,289022,"Assault"
"78",2010,0.14,0.86,78,"Asia",403.83,1478,"Assault"
"79",2010,0.14,0.86,79,"Asia",NA,NA,"Assault"
"80",2010,0.14,0.86,80,"Asia",19.83,35573,"Assault"
"81",2010,0.14,0.86,81,"Asia",318.9,64616,"Assault"
"82",2010,0.14,0.86,82,"Asia",5.39,155,"Assault"
"83",2010,0.14,0.86,83,"Asia",1.9,172,"Assault"
"84",2010,0.14,0.86,84,"Asia",NA,NA,"Assault"
"85",2010,0.14,0.86,85,"Asia",15.54,173,"Assault"
"86",2010,0.14,0.86,86,"Asia",3.07,126,"Assault"
"87",2010,0.14,0.86,87,"Asia",626.29,46007,"Assault"
"88",2010,0.14,0.86,88,"Asia",NA,NA,"Assault"
"89",2010,0.14,0.86,89,"Asia",NA,NA,"Assault"
"90",2010,0.14,0.86,90,"Asia",191.72,9496,"Assault"
"91",2010,0.14,0.86,91,"Asia",NA,NA,"Assault"
"92",2010,0.14,0.86,92,"Asia",NA,NA,"Assault"
"93",2010,0.14,0.86,93,"Asia",NA,NA,"Assault"
"94",2010,0.14,0.86,94,"Asia",7.05,286,"Assault"
"95",2010,0.14,0.86,95,"Asia",NA,NA,"Assault"
"96",2010,0.14,0.86,96,"Asia",305.39,220882,"Assault"
"97",2010,0.14,0.86,97,"Asia",NA,NA,"Assault"
"98",2010,0.14,0.86,98,"Asia",NA,NA,"Assault"
"99",2010,0.14,0.86,99,"Europe",12.29,1158,"Assault"
"100",2010,0.14,0.86,100,"Europe",40.92,3038,"Assault"
"101",2010,0.14,0.86,101,"Europe",171.52,18073,"Assault"
"102",2010,0.14,0.86,102,"Europe",146.76,14569,"Assault"
"103",2010,0.14,0.86,103,"Europe",28.73,11011,"Assault"
"104",2010,0.14,0.86,104,"Europe",10.18,416,"Assault"
"105",2010,0.14,0.86,105,"Europe",60.09,12301,"Assault"
"106",2010,0.14,0.86,106,"Europe",21.19,30403,"Assault"
"107",2010,0.14,0.86,107,"Europe",44.89,2426,"Assault"
"108",2010,0.14,0.86,108,"Europe",8.8,4029,"Assault"
"109",2010,0.14,0.86,109,"Europe",31.56,1753,"Assault"
"110",2010,0.14,0.86,110,"Europe",7.73,103,"Assault"
"111",2010,0.14,0.86,111,"Europe",37.2,1996,"Assault"
"112",2010,0.14,0.86,112,"Europe",17.81,57,"Assault"
"113",2010,0.14,0.86,113,"Europe",330.22,15038,"Assault"
"114",2010,0.14,0.86,114,"Europe",57.86,1226,"Assault"
"115",2010,0.14,0.86,115,"Europe",7.84,245,"Assault"
"116",2010,0.14,0.86,116,"Europe",59.86,2925,"Assault"
"117",2010,0.14,0.86,117,"Europe",59.57,5594,"Assault"
"118",2010,0.14,0.86,118,"Europe",6.04,178,"Assault"
"119",2010,0.14,0.86,119,"Europe",116.67,98,"Assault"
"120",2010,0.14,0.86,120,"Europe",13.63,505,"Assault"
"121",2010,0.14,0.86,121,"Europe",22.78,986,"Assault"
"122",2010,0.14,0.86,122,"Europe",10.11,1101,"Assault"
"123",2010,0.14,0.86,123,"Europe",0,0,"Assault"
"124",2010,0.14,0.86,124,"Europe",109.34,64866,"Assault"
"125",2010,0.14,0.86,125,"Europe",43.48,180,"Assault"
"126",2010,0.14,0.86,126,"Europe",30.93,193,"Assault"
"127",2010,0.14,0.86,127,"Europe",11.97,248,"Assault"
"128",2010,0.14,0.86,128,"Europe",8.14,863,"Assault"
"129",2010,0.14,0.86,129,"Europe",15.47,1391,"Assault"
"130",2010,0.14,0.86,130,"Europe",106.8,2182,"Assault"
"131",2010,0.14,0.86,131,"Europe",53.43,25077,"Assault"
"132",2010,0.14,0.86,132,"Europe",42.88,3606,"Assault"
"133",2010,0.14,0.86,133,"Europe",710.83,77758,"Assault"
"134",2010,0.14,0.86,134,"Europe",368.81,231909,"Assault"
"135",2010,0.14,0.86,135,"Europe",176.8,142903,"Assault"
"136",2010,0.14,0.86,136,"Europe",213.89,77,"Assault"
"137",2010,0.14,0.86,137,"Europe",487.2,2475,"Assault"
"138",2010,0.14,0.86,138,"Europe",NA,NA,"Assault"
"139",2010,0.14,0.86,139,"Europe",361.33,60280,"Assault"
"140",2010,0.14,0.86,140,"Europe",6.24,487,"Assault"
"141",2010,0.14,0.86,141,"Oceania",309.93,68665,"Assault"
"142",2010,0.14,0.86,142,"Oceania",257.67,11260,"Assault"
"143",2010,0.14,0.86,143,"Oceania",NA,NA,"Assault"
"144",2011,0.17,0.83,144,"Africa",5.57,499,"Assault"
"145",2011,0.17,0.83,145,"Africa",33.27,14366,"Assault"
"146",2011,0.17,0.83,146,"Africa",15.79,3434,"Assault"
"147",2011,0.17,0.83,147,"Africa",18.39,230,"Assault"
"148",2011,0.17,0.83,148,"Africa",NA,NA,"Assault"
"149",2011,0.17,0.83,149,"Africa",24.54,2526,"Assault"
"150",2011,0.17,0.83,150,"Africa",56.82,19023,"Assault"
"151",2011,0.17,0.83,151,"Africa",NA,NA,"Assault"
"152",2011,0.17,0.83,152,"Africa",NA,NA,"Assault"
"153",2011,0.17,0.83,153,"Africa",25.26,5281,"Assault"
"154",2011,0.17,0.83,154,"Africa",2.16,4,"Assault"
"155",2011,0.17,0.83,155,"Africa",124.24,45548,"Assault"
